,Flaw Category,CWE ID,CWE Name,Flaw Severity ,Static,Dynamic
0,API Abuse,234.0,Failure to Handle Missing Parameter,3.0,X,
1,API Abuse,243.0,Creation of Chroot Jail Without Changing Working Directory,4.0,X,
2,API Abuse,245.0,J2EE Bad Practices: Direct Management of Connections,2.0,X,
3,API Abuse,560.0,Use of Umask() with Chmod-Style Argument,3.0,X,
4,API Abuse,628.0,Function Call with Incorrectly Specified Arguments,2.0,X,
5,API Abuse,675.0,Duplicate Operations on Resource,2.0,X,
6,Authentication Issues,287.0,Improper Authentication,4.0,X,X
7,Authentication Issues,352.0,Cross-Site Request Forgery (CSRF),3.0,X,X
8,Authentication Issues,693.0,Protection Mechanism Failure,3.0,X,X
9,Authorization Issues,99.0,Improper Control of Resource Identifiers,3.0,X,
10,Authorization Issues,272.0,Least Privilege Violation,3.0,X,
11,Authorization Issues,273.0,Improper Check for Dropped Privileges,3.0,X,
12,Authorization Issues,274.0,Improper Handling of Insufficient Privileges,0.0,X,
13,Authorization Issues,282.0,Improper Ownership Management,3.0,X,
14,Authorization Issues,285.0,Improper Authorization,3.0,X,X
15,Authorization Issues,346.0,Origin Validation Error,3.0,X,
16,Authorization Issues,350.0,Reliance on Reverse DNS Resolution for a Security-Critical Action,3.0,X,
17,Authorization Issues,639.0,Authorization Bypass Through User-Controlled Key,4.0,X,
18,Authorization Issues,566.0,Authorization Bypass Through User-Controlled SQL Primary Key,3.0,X,
19,Authorization Issues,708.0,Incorrect Ownership Assignment,4.0,X,
20,Authorization Issues,732.0,Incorrect Permission Assignment for Critical Resource,3.0,X,
21,Authorization Issues,942.0,Permissive Cross-domain Policy with Untrusted Domains,3.0,X,X
22,Buffer Management Errors,118.0,Improper Access of Indexable Resource (Range Error),3.0,X,
23,Buffer Management Errors,125.0,Out-of-Bounds Read,3.0,X,
24,Buffer Management Errors,129.0,Improper Validation of Array Index,3.0,X,
25,Buffer Management Errors,135.0,Incorrect Calculation of Multi-Byte String Length,5.0,X,
26,Buffer Management Errors,170.0,Improper Null Termination,3.0,X,
27,Buffer Management Errors,193.0,Off-by-One Error,3.0,X,
28,Buffer Management Errors,787.0,Out-of-Bounds Write,3.0,X,
29,Buffer Management Errors,823.0,Use of Out-of-Range Pointer Offset,3.0,X,
30,Buffer Management Errors,824.0,Access of Uninitialized Pointer,3.0,X,
31,Buffer Overflow,121.0,Stack-Based Buffer Overflow,5.0,X,
32,Code Injection,74.0,Improper Neutralization of Special Elements in Output Used by a Downstream Component (Injection),4.0,,X
33,Code Injection,91.0,XML Injection (Blind XPath Injection),3.0,X,X
34,Code Injection,94.0,Improper Control of Generation of Code,3.0,X,
35,Code Injection,95.0,Improper Neutralization of Directives in Dynamically Evaluated Code (‘Eval Injection’),5.0,X,X
36,Code Injection,98.0,Improper Control of Filename for Include/Require Statement in PHP Program (PHP File Inclusion),4.0,X,X
37,Code Injection,185.0,Incorrect Regular Expression,2.0,X,
38,Code Injection,830.0,Inclusion of Web Functionality from an Untrusted Source,2.0,,X
39,Code Quality,111.0,Direct Use of Unsafe JNI,4.0,X,
40,Code Quality,159.0,Failure to Sanitize Special Element,0.0,X,
41,Code Quality,401.0,Improper Release of Memory Before Removing Last Reference (Memory Leak),2.0,X,
42,Code Quality,404.0,Improper Resource Shutdown or Release,0.0,X,
43,Code Quality,415.0,Double Free,3.0,X,
44,Code Quality,416.0,Use After Free,2.0,X,
45,Code Quality,477.0,Use of Obsolete Functions,0.0,X,X
46,Code Quality,479.0,Signal Handler Use of a Non-Reentrant Function,3.0,X,
47,Code Quality,489.0,Leftover Debug Code,3.0,X,
48,Code Quality,597.0,Use of Wrong Operator in String Comparison,2.0,X,
49,Command or Argument Injection,77.0,Improper Neutralization of Special Elements used in a Command (Command Injection),5.0,X,
50,Command or Argument Injection,78.0,Improper Neutralization of Special Elements used in an OS Command (OS Command Injection),5.0,X,X
51,Command or Argument Injection,88.0,Argument Injection or Modification,3.0,X,
52,Credentials Management,256.0,Plaintext Storage of a Password,3.0,X,
53,Credentials Management,259.0,Use of Hard-coded Password,3.0,X,X
54,Credentials Management,522.0,Insufficiently Protected Credentials,3.0,X,X
55,Credentials Management,798.0,Use of Hard-code Credentials,3.0,X,
56,CRLF Injection,93.0,Improper Neutralization of CRLF Sequences (CRLF Injection),3.0,X,
57,CRLF Injection,113.0,Improper Neutralization of CRLF Sequences in HTTP Headers (HTTP Response Splitting),3.0,X,X
58,CRLF Injection,117.0,Improper Output Neutralization for Logs,3.0,X,
59,Cross-Site Scripting (XSS),79.0,Improper Neutralization of Input During Web Page Generation (Cross-site Scripting),3.0,X,X
60,Cross-Site Scripting (XSS),80.0,Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),3.0,X,X
61,Cross-Site Scripting (XSS),83.0,Improper Neutralization of Script in Attributes in a Web Page,3.0,X,X
62,Cross-Site Scripting (XSS),86.0,Improper Neutralization of Invalid Characters in Identifiers in Web Pages,3.0,X,
63,Cryptographic Issues,261.0,Weak Cryptography for Passwords,3.0,X,
64,Cryptographic Issues,295.0,Improper Certificate Validation,3.0,X,
65,Cryptographic Issues,296.0,Improper Following of Chain of Trust for Certificate Validation,3.0,,X
66,Cryptographic Issues,297.0,Improper Validation of Host-specific Certificate Data,3.0,X,X
67,Cryptographic Issues,298.0,Improper Validation of Certificate Expiration,3.0,,X
68,Cryptographic Issues,299.0,Improper Check for Certificate Revocation,3.0,,X
69,Cryptographic Issues,311.0,Missing Encryption of Sensitive Data,3.0,X,
70,Cryptographic Issues,312.0,Cleartext Storage of Sensitive Information,3.0,X,
71,Cryptographic Issues,313.0,Plaintext Storage in a File or on Disk,3.0,X,
72,Cryptographic Issues,316.0,Plaintext Storage in Memory,3.0,X,
73,Cryptographic Issues,319.0,Cleartext Transmission of Sensitive Information,3.0,X,
74,Cryptographic Issues,321.0,Use of Hard-coded Cryptographic Key,3.0,X,X
75,Cryptographic Issues,326.0,Inadequate Encryption Strength,3.0,X,X
76,Cryptographic Issues,327.0,Use of a Broken or Risky Cryptographic Algorithm,3.0,X,X
77,Cryptographic Issues,328.0,Reversible One-Way Hash,3.0,X,
78,Cryptographic Issues,329.0,Not Using a Random IV with CBC Mode,2.0,X,
79,Cryptographic Issues,330.0,Use of Insufficiently Random Values,3.0,X,
80,Cryptographic Issues,331.0,Insufficient Entropy,3.0,X,
81,Cryptographic Issues,338.0,Use of Cryptographically Weak Pseudo-Random Number Generator,3.0,X,
82,Cryptographic Issues,347.0,Improper Verification of Cryptographic Signature,2.0,X,
83,Cryptographic Issues,354.0,Improper Validation of Integrity Check Value,3.0,X,
84,Cryptographic Issues,547.0,"Use of Hard-coded, Security-relevant Constants",3.0,X,
85,Cryptographic Issues,614.0,Sensitive Cookie in HTTPS Session Without Secure Attribute,2.0,X,X
86,Cryptographic Issues,760.0,Use of a One-Way Hash with a Predictable Salt,3.0,X,
87,Cryptographic Issues,780.0,Use of RSA with Optimal Asymmetric Encryption Padding,3.0,X,
88,Cryptographic Issues,916.0,Use of Password Hash With Insufficient Computational Effort,3.0,X,
89,Dangerous Functions,242.0,Use of Inherently Dangerous Function,5.0,X,
90,Dangerous Functions,676.0,Use of Potentially Dangerous Function,3.0,X,
91,Deployment Configuration,402.0,Transmission of Private Resources into a New Sphere (Resource Leak),3.0,,X
92,Deployment Configuration,668.0,Exposure of Resource to Wrong Sphere,3.0,X,X
93,Deployment Configuration,926.0,Improper Export of Android Application Components,3.0,X,
94,Directory Traversal,22.0,Improper Limitation of a Pathname to a Restricted Directory (Path Traversal),3.0,X,X
95,Directory Traversal,35.0,Path Traversal,2.0,X,
96,Directory Traversal,73.0,External Control of File Name or Path,3.0,X,
97,Encapsulation,494.0,Download of Code Without Integrity Check,5.0,X,
98,Encapsulation,501.0,Trust Boundary Violation,3.0,X,
99,Encapsulation,502.0,Deserialization of Untrusted Data,3.0,X,
100,Encapsulation,749.0,Exposed Dangerous Method or Function,4.0,X,
101,Error Handling,248.0,Uncaught Exception,2.0,X,
102,Error Handling,252.0,Unchecked Return Value,2.0,X,
103,Format String,134.0,Use of Externally-Controlled Format String,5.0,X,
104,Information Leakage,200.0,Information Exposure,2.0,X,
105,Information Leakage,201.0,Insertion of Sensitive Information Into Sent Data,2.0,X,
106,Information Leakage,209.0,Information Exposure Through an Error Message,2.0,X,X
107,Information Leakage,215.0,Information Exposure Through Debug Information,2.0,X,X
108,Information Leakage,359.0,Exposure of Private Information (Privacy Violation),2.0,X,
109,Information Leakage,497.0,Exposure of System Data to an Unauthorized Control Sphere,2.0,X,
110,Information Leakage,526.0,Information Exposure Through Environmental Variables,2.0,,X
111,Information Leakage,530.0,Exposure of Backup File to an Unauthorized Control Sphere,2.0,,X
112,Information Leakage,532.0,Insertion of Sensitive Information into Log File,2.0,X,
113,Information Leakage,538.0,File and Directory Information Exposure,0.0,,X
114,Information Leakage,548.0,Information Exposure Through Directory Listing,2.0,,X
115,Information Leakage,611.0,Information Exposure Through XML External Entity Reference,3.0,X,X
116,Information Leakage,615.0,Information Exposure Through Comments,0.0,X,X
117,Information Leakage,665.0,Improper Initialization,2.0,X,
118,Information Leakage,918.0,Server-side Request Forgery,3.0,X,X
119,Insecure Dependencies,829.0,Inclusion of Functionality from Untrusted Control Sphere,3.0,X,X
120,Insufficient Input Validation,20.0,Improper Input Validation,0.0,X,
121,Insufficient Input Validation,90.0,Improper Neutralization of Special Elements Used in an LDAP Query (LDAP Injection),3.0,X,
122,Insufficient Input Validation,103.0,Struts: Incomplete validate() Method Definition,3.0,X,
123,Insufficient Input Validation,104.0,Struts: Form Bean Does Not Extend Validation Class,3.0,X,
124,Insufficient Input Validation,112.0,Missing XML Validation,3.0,X,
125,Insufficient Input Validation,183.0,Permissive List of Allowed Inputs,3.0,X,
126,Insufficient Input Validation,345.0,Insufficient Verification of Data Authenticity,4.0,X,
127,Insufficient Input Validation,434.0,Unrestricted Upload of File with Dangerous Type,4.0,,X
128,Insufficient Input Validation,470.0,Use of Externally-Controlled Input to Select Classes or Code (Unsafe Reflection),3.0,X,
129,Insufficient Input Validation,472.0,External Control of Assumed-Immutable Web Parameter,3.0,X,
130,Insufficient Input Validation,601.0,URL Redirection to Untrusted Site (Open Redirect),3.0,X,X
131,Insufficient Input Validation,618.0,Exposed Unsafe ActiveX Method,5.0,X,
132,Insufficient Input Validation,915.0,Improperly Controlled Modification of Dynamically-Determined Object Attributes,3.0,X,
133,Insufficient Input Validation,1174.0,ASP.NET Misconfiguration: Improper Model Validation,2.0,X,
134,Insufficient Input Validation,1236.0,Improper Neutralization of Formula Elements in a CSV File,3.0,X,
135,Insufficient Logging & Monitoring,223.0,Omission of Security-relevant Information,2.0,X,
136,Numeric Errors,190.0,Integer Overflow or Wraparound,5.0,X,
137,Numeric Errors,191.0,Integer Underflow (Wrap or Wraparound),3.0,X,
138,Numeric Errors,192.0,Integer Coercion Error,3.0,X,
139,Numeric Errors,195.0,Signed to Unsigned Conversion Error,3.0,X,
140,Numeric Errors,196.0,Unsigned to Signed Conversion Error,3.0,X,
141,Numeric Errors,197.0,Numeric Truncation Error,3.0,X,
142,Potential Backdoor,398.0,Indicator of Poor Code Quality,0.0,X,
143,Potential Backdoor,506.0,Embedded Malicious Code,4.0,X,
144,Potential Backdoor,511.0,Logic/Time Bomb,5.0,X,
145,Potential Backdoor,514.0,Covert Channel,2.0,X,
146,Potential Backdoor,656.0,Reliance on Security Through Obscurity,0.0,X,
147,Race Conditions,366.0,Race Condition within a Thread,3.0,X,
148,Race Conditions,367.0,Time-of-check Time-of-use (TOCTOU) Race Condition,3.0,X,
149,Race Conditions,421.0,Race Condition During Access to Alternate Channel,3.0,X,
150,Server Configuration,16.0,Configuration,0.0,,X
151,Server Configuration,441.0,Unintended Proxy or Intermediary (Confused Deputy),3.0,X,
152,Server Configuration,642.0,External Control of Critical State Data,2.0,,X
153,Server Configuration,757.0,Selection of Less-Secure Algorithm During Negotiation (Algorithm Downgrade),3.0,X,X
154,Session Fixation,384.0,Session Fixation,3.0,X,X
155,SQL Injection,89.0,Improper Neutralization of Special Elements used in an SQL Command (SQL Injection),4.0,X,
156,SQL Injection,564.0,SQL Injection: Hibernate,4.0,X,
157,SQL Injection,943.0,Improper Neutralization of Special Elements in Data Query Logic,4.0,X,
158,Time and State,377.0,Insecure Temporary File,3.0,X,
159,Time and State,382.0,J2EE Bad Practices: Use of System.exit(),2.0,X,
160,Time and State,557.0,Concurrency Issues,2.0,X,
161,Time and State,691.0,Insufficient Control Flow Management,0.0,X,
162,Untrusted Initialization,15.0,External Control of System or Configuration Setting,4.0,X,
163,Untrusted Initialization,454.0,External Initialization of Trusted Variables or Data Stores,0.0,X,
164,Untrusted Search Path,114.0,Process Control,5.0,X,
165,Untrusted Search Path,426.0,Untrusted Search Path,3.0,X,
166,Untrusted Search Path,427.0,Uncontrolled Search Path Element,3.0,X,
167,,,,,,
168,,,,,,
169,,,,,,
170,,,,,,
171,,,,,,
172,,,,,,
173,,,,,,
174,,,,,,
175,,,,,,
176,,,,,,
177,,,,,,
178,,,,,,
179,,,,,,
180,,,,,,
181,,,,,,
182,,,,,,
183,,,,,,
184,,,,,,
185,,,,,,
186,,,,,,
187,,,,,,
188,,,,,,
189,,,,,,
190,,,,,,
